"","beta0","theta1","theta2"
"Cover",-0.824669728876527,0.341152233007948,0
"Area",-0.338728038155372,0.273801962206097,0.101767068261113
"Density",-0.952784008772393,0.174620903989803,-0.271028452195716
"Distance",-1.54764783538269,0.137874958022974,-0.0522187354709081
"Spatial.distribution",-1.43858003568007,0.116896949849353,-0.117891260385751
"Abundance",0.307882353634282,0.296187265036608,-0.199506479797411
"Biomass",-1.19171071368708,0.311641809595554,-0.162219057696979
"Occurrence",-0.591733899807697,0.0422610273762777,0.0288208548352879
"Length",-0.838581455478919,0.0118898017481944,-0.502808092981954
"Sex",-3.69228477078245,-0.550291428387486,-1.12702670419018
"Behavior",-1.08186065501171,-0.855919779547542,-0.275552295735403
"Age",-2.0990438461757,-0.0675715618781215,-0.346981724354531
"Diversity",-0.0101187403505641,0.626120501354588,0.527918885003775
"Composition",0.0993268888628356,0.446815952470187,0.316849253700156
"Canopy",-2.67059480735102,-0.228778775735272,0.325186181952329
"Resilience",-1.98983847168414,-0.0904246310759009,0.331273063396857
"Primary.production",-2.53684233079096,-0.119098356509389,0.207217609978776
"Essential.habitat",-2.88014644579502,-0.0422476892357546,-0.296847379670396
"Disturbance",-1.2442501176328,0.0433156552091965,0.276470557870136
"Condition",-1.21915164748275,0.0891753214012272,0.22258256183236
